pb_1,pb_2,pb_3,v_1,v_2,v_3
0.62837,0.0053863,0.67795,1.8262,-0.1947,2.7098
0.63018,0.0051884,0.68063,1.8025,-0.20119,2.6624
0.63198,0.0049853,0.68327,1.78,-0.20488,2.6137
0.63374,0.0047801,0.68586,1.7579,-0.20566,2.5641
0.63549,0.0045755,0.6884,1.7354,-0.20355,2.5145
0.63722,0.0043743,0.69089,1.7118,-0.19872,2.4652
0.63891,0.0041792,0.69333,1.6865,-0.19148,2.417
0.64059,0.0039923,0.69572,1.6589,-0.18226,2.3702
0.64223,0.0038154,0.69807,1.6286,-0.17158,2.3252
0.64384,0.0036496,0.70038,1.5951,-0.16002,2.2823
0.64542,0.0034955,0.70264,1.5585,-0.14819,2.2416
0.64696,0.0033531,0.70486,1.5186,-0.13671,2.2031
0.64846,0.0032216,0.70705,1.4756,-0.12616,2.1667
0.64991,0.0031,0.70919,1.4299,-0.11708,2.1321
0.65131,0.0029865,0.71131,1.3818,-0.1099,2.0991
0.65267,0.0028791,0.71339,1.3319,-0.10496,2.0672
0.65398,0.0027754,0.71544,1.2808,-0.10246,2.0359
0.65523,0.0026729,0.71746,1.2292,-0.10248,2.0046
0.65644,0.0025692,0.71945,1.1777,-0.10498,1.973
0.65759,0.0024618,0.72141,1.127,-0.10976,1.9404
0.65869,0.0023487,0.72333,1.0776,-0.11654,1.9065
0.65974,0.0022279,0.72522,1.0301,-0.12492,1.8708
0.66075,0.0020983,0.72707,0.98471,-0.13443,1.833
0.66171,0.0019588,0.72889,0.94183,-0.14455,1.793
0.66264,0.0018091,0.73066,0.90154,-0.15473,1.7507
0.66352,0.0016495,0.73239,0.86381,-0.16444,1.7061
0.66437,0.0014807,0.73407,0.82851,-0.17317,1.6593
0.66518,0.0013039,0.73571,0.79533,-0.18048,1.6106
0.66596,0.0011207,0.73729,0.76389,-0.18599,1.5603
0.66671,0.00093297,0.73883,0.73372,-0.18943,1.5089
0.66742,0.00074292,0.74031,0.70427,-0.19066,1.4567
0.66811,0.00055278,0.74174,0.67498,-0.18962,1.4042
0.66877,0.00036478,0.74312,0.64528,-0.18639,1.3519
0.6694,0.00018101,0.74444,0.61464,-0.18114,1.3003
0.67,3.356e-06,0.74572,0.58256,-0.17417,1.2496
0.67057,-0.00016664,0.74694,0.54866,-0.16583,1.2004
0.6711,-0.00032784,0.74812,0.51262,-0.15655,1.1528
0.67159,-0.00047951,0.74925,0.47425,-0.1468,1.1069
0.67205,-0.00062144,0.75033,0.4335,-0.13705,1.0629
0.67246,-0.00075386,0.75138,0.39042,-0.12778,1.0207
0.67283,-0.00087745,0.75238,0.34518,-0.11942,0.98015
0.67315,-0.00099333,0.75334,0.29807,-0.11234,0.94106
0.67342,-0.0011029,0.75426,0.24945,-0.10686,0.90313
0.67365,-0.001208,0.75514,0.19978,-0.10319,0.866
0.67382,-0.0013103,0.75599,0.14954,-0.10145,0.82931
0.67395,-0.0014118,0.7568,0.099255,-0.10165,0.79263
0.67402,-0.0015145,0.75758,0.049422,-0.1037,0.75559
0.67404,-0.0016201,0.75831,0.00051933,-0.10744,0.7178
0.67402,-0.0017301,0.75901,-0.047031,-0.11258,0.67894
0.67395,-0.0018458,0.75967,-0.092881,-0.11881,0.63874
0.67384,-0.001968,0.76029,-0.13678,-0.12573,0.59702
0.67368,-0.0020974,0.76086,-0.17857,-0.13293,0.55365
0.67348,-0.0022338,0.76139,-0.2182,-0.13999,0.50863
0.67324,-0.0023771,0.76188,-0.25574,-0.14651,0.46201
0.67297,-0.0025264,0.76232,-0.29136,-0.1521,0.41395
0.67266,-0.0026807,0.76271,-0.32531,-0.15646,0.36465
0.67232,-0.0028386,0.76305,-0.35792,-0.15932,0.31441
0.67195,-0.0029985,0.76334,-0.38958,-0.16052,0.26354
0.67154,-0.0031587,0.76357,-0.42073,-0.15997,0.21241
0.6711,-0.0033176,0.76376,-0.45179,-0.15769,0.16138
0.67064,-0.0034733,0.7639,-0.48322,-0.15376,0.11081
0.67014,-0.0036243,0.76398,-0.51539,-0.14836,0.06102
